ATOM FIELD,Channel Name,N/A,N/A,N/A,N/A,Service Key,N/A,Gracenote ID,Light Logo Key,Dark Logo Key,N/A,Logo Style,Enabled,Content Segment,Section Navigation,Classification,Format Type,Rating,Channel Description,Channel Colour,Privacy Restrictions,Advisory ,Experiment,Experiment Variant,titleArt169,keyArt169
,WFLA-TV,Nexstar Inc.,WFLA-TV,"Tampa-St. Pete (Sarasota), FL",In Progress,8453801660570823117,http://peacock-inspector-qa.merlin.comcast.net:8080/station?stationId=8453801660570823117,11437,skychb_8453801660570823117_darknow,skychb_8453801660570823117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,KARE,TEGNA INC.,KARE,Minneapolis-St. Paul,In Progress,6751709690595948117,http://peacock-inspector-qa.merlin.comcast.net:8080/station?stationId=6751709690595948117,10328,skychb_6751709690595948117_darknow,skychb_6751709690595948117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,WDIV-TV,Graham Media Group      ,WDIV-TV,Detroit,In Progress,8076796986326985117,http://peacock-inspector-qa.merlin.comcast.net:8080/station?stationId=8076796986326985117,11387,skychb_8076796986326985117_darknow,skychb_8076796986326985117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
