ATOM FIELD,Channel Name,N/A,N/A,N/A,N/A,Service Key,,Gracenote ID,Light Logo Key,Dark Logo Key,N/A,Logo Style,Enabled,Content Segment,Section Navigation,Classification,Format Type,Rating,Channel Description,Channel Colour,Privacy Restrictions,Advisory ,Experiment,Experiment Variant,titleArt169,keyArt169
,KBJR,"Gray Media Group, Inc.",KBJR,Duluth-Superior,In Progress,6921318133304004117,http://peacock-inspector-qa.merlin.comcast.net:8080/station?stationId=6921318133304004117,10348,skychb_6921318133304004117_darknow ,skychb_6921318133304004117_lightnow,,,Checked,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,KGNS-TV,"Gray Media Group, Inc.",KGNS-TV,"Laredo, TX",In Progress,6769855846078151117,http://peacock-inspector-qa.merlin.comcast.net:8080/station?stationId=6769855846078151117,10478,skychb_6769855846078151117_darknow ,skychb_6769855846078151117_lightnow,,,Checked,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,KFOR-TV,Nexstar Inc.,KFOR-TV,Oklahoma City,In Progress,8124040456083464117,http://peacock-inspector-qa.merlin.comcast.net:8080/station?stationId=8124040456083464117,10462,skychb_8124040456083464117_darknow ,skychb_8124040456083464117_lightnow,,,Checked,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,_Fallback,N/A,PKNBCL,Fallback,In Progress,6337006762137813117,http://peacock-inspector.merlin.comcast.net:8080/station?stationId=6337006762137813117,N/A,skychb_6337006762137813117_darknow ,skychb_6337006762137813117_lightnow,,,Checked,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
